receptor_id,backbone_id,reference_file,aligned_receptor_pdb,reference_ligand_pdb,config_file,alignment_method,pocket_ca_count,alignment_rmsd_A,ligand_atom_count,center_x,center_y,center_z,box_size,status
buried_7_model_3_sample2_model,buried_7_model_3,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_7_model_3.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_7_model_3_sample2_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_7_model_3_sample2_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_7_model_3_sample2_model.box.txt,pocket_pair_fit,14,0.7726,10,1.239,-4.587,-0.563,20.0,success
buried_7_model_4_sample6_model,buried_7_model_4,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_7_model_4.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_7_model_4_sample6_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_7_model_4_sample6_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_7_model_4_sample6_model.box.txt,pocket_pair_fit,12,0.4838,10,-5.228,-1.42,-1.873,20.0,success
buried_7_model_5_sample9_model,buried_7_model_5,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_7_model_5.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_7_model_5_sample9_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_7_model_5_sample9_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_7_model_5_sample9_model.box.txt,pocket_pair_fit,14,0.3839,10,4.394,3.904,-2.729,20.0,success
buried_7_model_6_sample4_model,buried_7_model_6,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_7_model_6.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_7_model_6_sample4_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_7_model_6_sample4_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_7_model_6_sample4_model.box.txt,pocket_pair_fit,13,0.3602,10,0.734,-6.602,-4.898,20.0,success
buried_7_model_7_sample10_model,buried_7_model_7,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_7_model_7.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_7_model_7_sample10_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_7_model_7_sample10_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_7_model_7_sample10_model.box.txt,pocket_pair_fit,14,0.3983,10,-0.186,2.386,-0.639,20.0,success
buried_8_model_2_sample8_model,buried_8_model_2,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_8_model_2.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_8_model_2_sample8_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_8_model_2_sample8_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_8_model_2_sample8_model.box.txt,pocket_pair_fit,14,0.5218,10,0.377,-1.841,-7.331,20.0,success
buried_8_model_3_sample2_model,buried_8_model_3,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_8_model_3.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_8_model_3_sample2_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_8_model_3_sample2_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_8_model_3_sample2_model.box.txt,pocket_pair_fit,15,0.427,10,1.223,1.021,1.515,20.0,success
buried_8_model_4_sample3_model,buried_8_model_4,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_8_model_4.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_8_model_4_sample3_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_8_model_4_sample3_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_8_model_4_sample3_model.box.txt,pocket_pair_fit,15,0.5925,10,3.239,-2.131,-0.607,20.0,success
buried_8_model_6_sample5_model,buried_8_model_6,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_8_model_6.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_8_model_6_sample5_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_8_model_6_sample5_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_8_model_6_sample5_model.box.txt,pocket_pair_fit,15,0.611,10,1.146,-0.582,0.402,20.0,success
buried_8_model_7_sample9_model,buried_8_model_7,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_8_model_7.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_8_model_7_sample9_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_8_model_7_sample9_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_8_model_7_sample9_model.box.txt,pocket_pair_fit,15,0.3787,10,2.619,1.15,1.83,20.0,success
buried_8_model_9_sample2_model,buried_8_model_9,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_8_model_9.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_8_model_9_sample2_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_8_model_9_sample2_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_8_model_9_sample2_model.box.txt,pocket_pair_fit,16,0.3117,10,0.845,1.608,4.222,20.0,success
buried_9_model_0_sample5_model,buried_9_model_0,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_9_model_0.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_9_model_0_sample5_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_9_model_0_sample5_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_9_model_0_sample5_model.box.txt,pocket_pair_fit,13,0.5456,10,0.012,-7.233,0.027,20.0,success
buried_9_model_3_sample2_model,buried_9_model_3,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_9_model_3.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_9_model_3_sample2_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_9_model_3_sample2_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_9_model_3_sample2_model.box.txt,pocket_pair_fit,13,0.4061,10,5.393,-4.973,3.613,20.0,success
buried_9_model_4_sample7_model,buried_9_model_4,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_9_model_4.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_9_model_4_sample7_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_9_model_4_sample7_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_9_model_4_sample7_model.box.txt,pocket_pair_fit,14,0.3909,10,-2.406,-0.646,1.028,20.0,success
buried_9_model_6_sample6_model,buried_9_model_6,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_9_model_6.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_9_model_6_sample6_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_9_model_6_sample6_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_9_model_6_sample6_model.box.txt,pocket_pair_fit,14,0.4535,10,0.501,-3.877,2.385,20.0,success
buried_9_model_9_sample7_model,buried_9_model_9,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_9_model_9.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_9_model_9_sample7_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_9_model_9_sample7_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_9_model_9_sample7_model.box.txt,pocket_pair_fit,15,0.3439,10,-0.588,7.571,-7.342,20.0,success
