backbone_id,netsolp_file,protparam_file,rf3_file,triplet_complete,audit_note
buried_6_model_1,buried_6_model_1.txt,buried_6_model_1_ProtParam_results.xlsx,buried_6_model_1_RF3_metrics.csv,Yes,
buried_6_model_2,buried_6_model_2.txt,buried_6_model_2_ProtParam_results.xlsx,buried_6_model_2_RF3_metrics.csv,Yes,
buried_6_model_3,buried_6_model_3.txt,buried_6_model_3_ProtParam_results.xlsx,buried_6_model_3_RF3_metrics.csv,Yes,
buried_6_model_4,buried_6_model_4.txt,buried_6_model_4_ProtParam_results.xlsx,buried_6_model_4_RF3_metrics.csv,Yes,
buried_6_model_5,buried_6_model_5.txt,buried_6_model_5_ProtParam_results.xlsx,buried_6_model_5_RF3_metrics.csv,Yes,
buried_6_model_6,buried_6_model_6.txt,buried_6_model_6_ProtParam_results.xlsx,buried_6_model_6_RF3_metrics.csv,Yes,
buried_6_model_9,buried_6_model_9.txt,buried_6_model_9_ProtParam_results.xlsx,buried_6_model_9_RF3_metrics.csv,Yes,
buried_7_model_1,buried_7_model_1.txt,buried_7_model_1_ProtParam_results.xlsx,buried_7_model_1_RF3_metrics.csv,Yes,
buried_7_model_2,buried_7_model_2.txt,buried_7_model_2_ProtParam_results.xlsx,buried_7_model_2_RF3_metrics.csv,Yes,
buried_7_model_3,buried_7_model_3.txt,buried_7_model_3_ProtParam_results.xlsx,buried_7_model_3_RF3_metrics.csv,Yes,
buried_7_model_4,buried_7_model_4.txt,buried_7_model_4_ProtParam_results.xlsx,buried_7_model_4_RF3_metrics.csv,Yes,
buried_7_model_5,buried_7_model_5.txt,buried_7_model_5_ProtParam_results.xlsx,buried_7_model_5_RF3_metrics.csv,Yes,
buried_7_model_6,buried_7_model_6.txt,buried_7_model_6_ProtParam_results.xlsx,buried_7_model_6_RF3_metrics.csv,Yes,
buried_7_model_7,buried_7_model_7.txt,buried_7_model_7_ProtParam_results.xlsx,buried_7_model_7_RF3_metrics.csv,Yes,
buried_8_model_1,buried_8_model_1.txt,buried_8_model_1_ProtParam_results.xlsx,buried_8_model_1_RF3_metrics.csv,Yes,
buried_8_model_2,buried_8_model_2.txt,buried_8_model_2_ProtParam_results.xlsx,buried_8_model_2_RF3_metrics.csv,Yes,
buried_8_model_3,buried_8_model_3.txt,buried_8_model_3_ProtParam_results.xlsx,buried_8_model_3_RF3_metrics.csv,Yes,
