"Selected_Name","Backbone_Name","Design_Index","RF3_Sample_Number","RF3_Expected_Stem","Receptor_Found","Receptor_File_Type","Receptor_Ready_PDBQT","Receptor_Path","RFD3_Expected_Stem","RFD3_Complex_Found","RFD3_File_Type","RFD3_Complex_Path"
"buried_2_model_8_2","buried_2_model_8","2","3","buried_2_model_8_sample3_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_2_model_8_sample3_model.cif","buried_2_model_8","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_2_model_8.cif"
"buried_2_model_9_2","buried_2_model_9","2","3","buried_2_model_9_sample3_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_2_model_9_sample3_model.cif","buried_2_model_9","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_2_model_9.cif"
"buried_3_model_6_2","buried_3_model_6","2","3","buried_3_model_6_sample3_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_3_model_6_sample3_model.cif","buried_3_model_6","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_3_model_6.cif"
"buried_4_model_3_7","buried_4_model_3","7","8","buried_4_model_3_sample8_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_4_model_3_sample8_model.cif","buried_4_model_3","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_4_model_3.cif"
"buried_4_model_4_6","buried_4_model_4","6","7","buried_4_model_4_sample7_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_4_model_4_sample7_model.cif","buried_4_model_4","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_4_model_4.cif"
"buried_4_model_5_0","buried_4_model_5","0","1","buried_4_model_5_sample1_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_4_model_5_sample1_model.cif","buried_4_model_5","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_4_model_5.cif"
"buried_4_model_6_6","buried_4_model_6","6","7","buried_4_model_6_sample7_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_4_model_6_sample7_model.cif","buried_4_model_6","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_4_model_6.cif"
"buried_5_model_0_4","buried_5_model_0","4","5","buried_5_model_0_sample5_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_5_model_0_sample5_model.cif","buried_5_model_0","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_5_model_0.cif"
"buried_5_model_3_5","buried_5_model_3","5","6","buried_5_model_3_sample6_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_5_model_3_sample6_model.cif","buried_5_model_3","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_5_model_3.cif"
"buried_6_model_1_4","buried_6_model_1","4","5","buried_6_model_1_sample5_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_6_model_1_sample5_model.cif","buried_6_model_1","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_6_model_1.cif"
"buried_6_model_3_1","buried_6_model_3","1","2","buried_6_model_3_sample2_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_6_model_3_sample2_model.cif","buried_6_model_3","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_6_model_3.cif"
"buried_6_model_7_9","buried_6_model_7","9","10","buried_6_model_7_sample10_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_6_model_7_sample10_model.cif","buried_6_model_7","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_6_model_7.cif"
"buried_6_model_8_8","buried_6_model_8","8","9","buried_6_model_8_sample9_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_6_model_8_sample9_model.cif","buried_6_model_8","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_6_model_8.cif"
"buried_7_model_0_2","buried_7_model_0","2","3","buried_7_model_0_sample3_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_7_model_0_sample3_model.cif","buried_7_model_0","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_7_model_0.cif"
"buried_7_model_2_3","buried_7_model_2","3","4","buried_7_model_2_sample4_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_7_model_2_sample4_model.cif","buried_7_model_2","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_7_model_2.cif"
"buried_8_model_2_6","buried_8_model_2","6","7","buried_8_model_2_sample7_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_8_model_2_sample7_model.cif","buried_8_model_2","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_8_model_2.cif"
"buried_8_model_3_3","buried_8_model_3","3","4","buried_8_model_3_sample4_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_8_model_3_sample4_model.cif","buried_8_model_3","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_8_model_3.cif"
