Sequence ID	solubility	usability
buried_8_model_2_b0_d0	0.8478512966463099	0.6363830271490054
buried_8_model_2_b0_d1	0.9260125923487976	0.6989051552640608
buried_8_model_2_b0_d2	0.9256825185499704	0.7714850669952388
buried_8_model_2_b0_d3	0.8891297809230665	0.5878852099407219
buried_8_model_2_b0_d4	0.9279521069601264	0.6991924501137123
buried_8_model_2_b0_d5	0.8844879942636856	0.4194386395791998
buried_8_model_2_b0_d6	0.9022241774560468	0.7048521472780382
buried_8_model_2_b0_d7	0.8921894445991884	0.6445984269005502
buried_8_model_2_b0_d8	0.9071134006597698	0.6612584904695362
buried_8_model_2_b0_d9	0.9098184956994172	0.670934913526364
