"receptor_id","docking_status","best_affinity_kcal_mol","output_created","alignment_rmsd_A","pocket_alignment_risk","output_file","log_file"
"buried_5_model_0_sample5_model","completed","-8.664","True","0.379","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_5_model_0_sample5_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_5_model_0_sample5_model_QUE.log"
"buried_5_model_1_sample4_model","completed","-5.899","True","0.6139","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_5_model_1_sample4_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_5_model_1_sample4_model_QUE.log"
"buried_5_model_3_sample6_model","completed","-7.811","True","1.6319","High_risk_pocket_deviation","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_5_model_3_sample6_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_5_model_3_sample6_model_QUE.log"
"buried_5_model_6_sample8_model","completed","-7.745","True","0.4773","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_5_model_6_sample8_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_5_model_6_sample8_model_QUE.log"
"buried_5_model_9_sample7_model","completed","-5.921","True","0.453","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_5_model_9_sample7_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_5_model_9_sample7_model_QUE.log"
"buried_6_model_1_sample5_model","completed","-7.895","True","0.4636","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_6_model_1_sample5_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_6_model_1_sample5_model_QUE.log"
"buried_6_model_3_sample2_model","completed","-9.082","True","0.6459","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_6_model_3_sample2_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_6_model_3_sample2_model_QUE.log"
"buried_6_model_5_sample3_model","completed","-9.284","True","0.2934","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_6_model_5_sample3_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_6_model_5_sample3_model_QUE.log"
"buried_6_model_7_sample10_model","completed","-8.115","True","0.3979","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_6_model_7_sample10_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_6_model_7_sample10_model_QUE.log"
"buried_6_model_8_sample9_model","completed","-8.035","True","0.5645","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_6_model_8_sample9_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_6_model_8_sample9_model_QUE.log"
"buried_7_model_0_sample3_model","completed","-7.779","True","0.5113","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_7_model_0_sample3_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_7_model_0_sample3_model_QUE.log"
"buried_7_model_2_sample4_model","completed","-8.255","True","0.3662","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_7_model_2_sample4_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_7_model_2_sample4_model_QUE.log"
"buried_7_model_7_sample5_model","completed","-7.231","True","0.5293","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_7_model_7_sample5_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_7_model_7_sample5_model_QUE.log"
"buried_7_model_9_sample4_model","completed","-8.519","True","0.6061","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_7_model_9_sample4_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_7_model_9_sample4_model_QUE.log"
"buried_8_model_2_sample7_model","completed","-5.279","True","0.452","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_8_model_2_sample7_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_8_model_2_sample7_model_QUE.log"
