receptor_id,backbone_id,receptor_file,reference_file,aligned_receptor_pdb,reference_ligand_pdb,config_file,alignment_method,pocket_ca_count,alignment_rmsd_A,ligand_atom_count,ligand_span_x_A,ligand_span_y_A,ligand_span_z_A,center_x,center_y,center_z,box_size_A,status
buried_4_model_0_sample9_model,buried_4_model_0,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_4_model_0_sample9_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_4_model_0.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_4_model_0_sample9_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_4_model_0_sample9_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_4_model_0_sample9_model.box.txt,pocket_pair_fit,17,0.3222,22,5.468,6.084,10.429,0.51,-11.367,-2.952,24.0,success
buried_4_model_3_sample8_model,buried_4_model_3,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_4_model_3_sample8_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_4_model_3.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_4_model_3_sample8_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_4_model_3_sample8_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_4_model_3_sample8_model.box.txt,pocket_pair_fit,22,0.3242,22,3.932,10.2,6.089,-0.824,-0.724,-4.118,24.0,success
buried_4_model_4_sample7_model,buried_4_model_4,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_4_model_4_sample7_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_4_model_4.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_4_model_4_sample7_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_4_model_4_sample7_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_4_model_4_sample7_model.box.txt,pocket_pair_fit,19,0.4092,22,6.634,4.807,9.494,-4.459,-1.996,5.819,24.0,success
buried_4_model_5_sample1_model,buried_4_model_5,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_4_model_5_sample1_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_4_model_5.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_4_model_5_sample1_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_4_model_5_sample1_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_4_model_5_sample1_model.box.txt,pocket_pair_fit,21,0.569,22,9.836,4.139,7.04,-2.313,1.931,-2.06,24.0,success
buried_4_model_6_sample7_model,buried_4_model_6,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_4_model_6_sample7_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_4_model_6.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_4_model_6_sample7_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_4_model_6_sample7_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_4_model_6_sample7_model.box.txt,pocket_pair_fit,20,0.8668,22,6.719,6.538,8.345,-8.061,-1.677,8.19,24.0,success
buried_5_model_0_sample5_model,buried_5_model_0,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_5_model_0_sample5_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_5_model_0.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_5_model_0_sample5_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_5_model_0_sample5_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_5_model_0_sample5_model.box.txt,pocket_pair_fit,21,0.379,22,7.133,4.218,9.35,-3.472,-2.012,-5.586,24.0,success
buried_5_model_1_sample4_model,buried_5_model_1,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_5_model_1_sample4_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_5_model_1.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_5_model_1_sample4_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_5_model_1_sample4_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_5_model_1_sample4_model.box.txt,pocket_pair_fit,18,0.6139,22,7.902,5.689,8.716,-0.533,2.096,2.265,24.0,success
buried_5_model_3_sample6_model,buried_5_model_3,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_5_model_3_sample6_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_5_model_3.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_5_model_3_sample6_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_5_model_3_sample6_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_5_model_3_sample6_model.box.txt,pocket_pair_fit,19,1.6319,22,6.725,5.865,8.674,-1.766,1.203,13.537,24.0,success
buried_5_model_6_sample8_model,buried_5_model_6,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_5_model_6_sample8_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_5_model_6.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_5_model_6_sample8_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_5_model_6_sample8_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_5_model_6_sample8_model.box.txt,pocket_pair_fit,22,0.4773,22,6.834,9.084,4.728,-0.056,6.863,-3.04,24.0,success
buried_5_model_9_sample7_model,buried_5_model_9,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_5_model_9_sample7_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_5_model_9.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_5_model_9_sample7_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_5_model_9_sample7_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_5_model_9_sample7_model.box.txt,pocket_pair_fit,14,0.453,22,4.075,10.018,4.378,9.147,-0.925,2.948,24.0,success
buried_6_model_1_sample5_model,buried_6_model_1,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_6_model_1_sample5_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_6_model_1.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_6_model_1_sample5_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_6_model_1_sample5_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_6_model_1_sample5_model.box.txt,pocket_pair_fit,17,0.4636,22,6.111,7.54,8.157,-7.108,6.6,6.511,24.0,success
